1736,Tá disponível ????,
1737,Boa tarde esse produto é original?,
1738,"Boa tarde! Consigo comprar em uma única encomenda o: Kit emagrecedor dia e noite 120 caps Body Action + creatina 300g e Glutamina 300g Black Skull + Omegafor Plus 60 caps Vitafor? Se sim, qual valor total com frete para São Paulo, capital CEP 05409-011? Obrigado",
1739,"E você tem algum produto pra cabelo,unha e pele??",
1740,Você tem Dilatex ?,
1741,Email,
1742,Qual é o contato particular?,"Desculpe, não entendi sua pergunta..."
1743,Gostei vou comprar esse aí sim,"Show, Simone! Aguardamos sua compra, estamos à disposição :D"
1744,Olá...o envio é por transportadora ou Correios ?,"Olá, boa tarde! Nós trabalhamos com o Mercado Envios, então é a própria plataforma quem determina se a entrega será por correios ou transportadora... Em caso de dúvidas, estamos à disposição :D"
1745,Como posso adquirir a compra,"É só entrar no anúncio, informar quantos kit deseja e clicar em ""comprar agora"". Em caso de dúvidas, estamos à disposição!! :D"
1746,Bom dia! Tenho que malhar para ver os resultados se eu tomar esse suplemento??,"Olá, boa tarde! Os produtos em si já possuem ingredientes que contribuem para aceler o metabolismo, queimar calorias e inibir a vontade de comer doces. Porém, assim como todo produto, o ideal é somar a uma alimentação saudável e prática de exercícios físicos para melhor resultado. Aguardamos sua compra, estamos à disposição :D"
1747,Recomenda tomar quantas cápsulas por dia??,"Boa tarde! De acordo com o próprio fabricante, recomenda-se o uso de 2 cápsulas do Thermo abdomen ao dia, sendo 1 pela manhã e 1 após o almoço. Já o Night abdomen, recomenda-se o uso de 2 cápsulas antes de dormir. Aguardamos sua compra, estamos à disposição :D"
1748,Quantos dias já vejo resultado,"Olá, boa tarde! Isso é relativo... Cada organismo reage de uma forma ao mesmo produto, o ideal é você unir o uso com uma alimentação saudável e prática de exercícios físicos, garantindo assim bons resultados. Em caso de dúvidas, estamos à disposição :D"
1749,"Oi AMG. Para , de dia e noite, quantos comprimidos eu tomo? Grato.","Olá, bom dia! O Thermo Abdomen o ideal é tomar 2 cápsulas ao dia, 1 pela manhã e 1 após o almoço. Já o Night Abdomen sugere-se a ingestão de 2 cápsulas ao dia, antes de dormir. :)"
1750,Ola gostaria de saber se quem tem pressão alta pode tomar.,"Olá, bom dia! Segundo o próprio site da marca, este produto não é indicado para: gestantes, lactantes, idosos, crianças e portadores de enfermidades. Por conter cafeína na composição do Thermo abdomen, talvez não seja indicado... O ideal é você procurar recomendações de um médico ou nutricionista. Em caso de dúvidas, estamos à disposição!! :D"
1751,Emagrece mesmo?,"Olá, bom dia! Sim, possui excelentes resultados, ainda mais quando somado a uma alimentação saudável e prática de exercícios físicos. Aguardamos sua compra, estamos à disposição!! :D"
1752,Esse emagrece mesmo,"Olá, bom dia! Sim, possui excelentes resultados, ainda mais quando somado a uma alimentação saudável e prática de exercícios físicos. Aguardamos sua compra, estamos à disposição!! :D"
1753,Vc não tem eles todos da msm marca?,temos sim ... porem esses que estão no anuncio são os mais vendidos amigo ... mas caso queira posso mudar !
1754,Mas quero uma marca boa,https://produto.mercadolivre.com.br/MLB-1511812080-night-abdomen-thermo-abdomen-colageno-hidrolisado-_JM?quantity=1&variation=55031662540
1755,Não,https://produto.mercadolivre.com.br/MLB-1511812080-night-abdomen-thermo-abdomen-colageno-hidrolisado-_JM?quantity=1&variation=55031662540
1756,E vc tem creatina?,TEMOS SIM .. TEM PREFERENCIA POR MARCA ?
1757,E vc tem desinchar?,estamos sem estoque no momento !
1758,Entendi,:D
1759,E tem um termogenico?,thermo abdomen e night abdomen já é um termogênico amigo (a) ...
1760,Eu prefiro comprimido e quero uma marca boa,https://produto.mercadolivre.com.br/MLB-1511812080-night-abdomen-thermo-abdomen-colageno-hidrolisado-_JM?quantity=1&variation=55031662540
1761,"q pena iria comprar mas o envo esta claro ''full'' que é transportadora e jamais será correos, se fosse se esse selo, fechara co vcs,, obrgd","bom dia , não conseguimos afirmar quem fará a entrega pois o mercado livre quem determina !"
1762,"bom dia, não tem a opção de o envio ser correos? pois meu endereço é de caixa postal e sepre retro lá","bom dia , o envio é feito pelo mercado envios do mercado livre ... eles que determinam quem fará a entrega , transportadora ou correios !"
1763,Eu quero comprar esse kit mas tbm quero comprar um colágeno vc tem algum??,tem preferencia por marca ? pó ou comprimido ?
1764,Bom diaa,"bom dia , posso ajudar ?"
1765,"Olá por quanto tempo deve ser tomado isso,no caso tem que tomar sempre para ser funcional?","bom dia, tomar até achar que já chegou em seu peso ideal amigo ! aguardamos sua compra !"
1766,Quantas cápsulas toma por dia,"bom dia , são 2 comprimidos ao dia de cada :D"
1767,Show,qualquer duvida estou a disposição
1768,"Tá integralmed que vem com creatina, Um BCAA bom","voce pode comprar pelo carrinho de compras amig, voce seleciona o anuncio do hipercalorico + esse e finaliza em uma unica compra!"
1769,Vc pode fazer um kit pra mim com esses 2 aí e um impercalorico quem tem creatina e vou querer um BCAA bom,"Oi boa noite, qual seria a marca do bcaa e do hipercalorico?"
1770,o Thermo é de 120 capsulas e o Night é 60 conforme imagem?,"Olá, bom dia! Este kit é composto por 1 Night abdomen e 1 Thermo abdomen, ambos com 60 cápsulas. Aguardamos sua compra, estamos à disposição :D"
